requirement_id,application,source_issue_count,priority,business_owner,acceptance_criteria_count,planned_increment
REQ-001,Public Finance CRM,6,High,Operations,6,Increment 4
REQ-002,Public Finance CRM,7,Medium,Sales Support,5,Increment 2
REQ-003,Client Reporting,8,Medium,Compliance,6,Increment 4
REQ-004,Client Reporting,7,Low,Operations,5,Increment 1
REQ-005,Public Finance CRM,4,Medium,Sales Support,5,Increment 2
REQ-006,Compliance Workflow,9,Low,Financial Advisors,6,Increment 4
REQ-007,Public Finance CRM,2,Medium,Public Finance,8,Increment 3
REQ-008,Compliance Workflow,15,High,Financial Advisors,7,Increment 3
REQ-009,Data Entitlements,12,High,Financial Advisors,5,Increment 4
REQ-010,Advisor Portal,4,Medium,Compliance,4,Increment 2
REQ-011,Data Entitlements,12,High,Public Finance,8,Increment 4
REQ-012,Compliance Workflow,10,High,Public Finance,8,Increment 2
REQ-013,Public Finance CRM,6,Medium,Sales Support,4,Increment 2
REQ-014,Client Reporting,9,Medium,Operations,5,Increment 1
REQ-015,Trade Support,14,Medium,Operations,7,Increment 4
REQ-016,Compliance Workflow,16,Low,Public Finance,3,Increment 4
REQ-017,Trade Support,14,Medium,Public Finance,8,Increment 2
REQ-018,Advisor Portal,13,Medium,Financial Advisors,8,Increment 1
REQ-019,Public Finance CRM,12,Medium,Compliance,7,Increment 2
REQ-020,Public Finance CRM,10,Medium,Public Finance,7,Increment 2
REQ-021,Compliance Workflow,8,Medium,Public Finance,8,Increment 1
REQ-022,Compliance Workflow,8,Medium,Public Finance,4,Increment 4
REQ-023,Data Entitlements,15,Medium,Operations,5,Increment 3
REQ-024,Trade Support,8,High,Operations,8,Increment 4
REQ-025,Public Finance CRM,4,Medium,Financial Advisors,6,Increment 4
REQ-026,Compliance Workflow,7,Medium,Public Finance,3,Increment 3
REQ-027,Public Finance CRM,16,High,Sales Support,6,Increment 3
REQ-028,Compliance Workflow,7,High,Operations,3,Increment 1
REQ-029,Compliance Workflow,12,Medium,Financial Advisors,5,Increment 4
REQ-030,Data Entitlements,2,Medium,Public Finance,6,Increment 2
REQ-031,Compliance Workflow,12,Medium,Operations,8,Increment 3
REQ-032,Compliance Workflow,12,Medium,Operations,7,Increment 1
REQ-033,Client Reporting,6,Critical,Operations,4,Increment 2
REQ-034,Compliance Workflow,5,High,Financial Advisors,3,Increment 3
REQ-035,Public Finance CRM,13,Critical,Public Finance,9,Increment 1
REQ-036,Client Reporting,17,Medium,Sales Support,6,Increment 4
REQ-037,Compliance Workflow,6,Medium,Financial Advisors,6,Increment 2
REQ-038,Public Finance CRM,5,High,Operations,8,Increment 1
REQ-039,Data Entitlements,3,Medium,Financial Advisors,6,Increment 1
REQ-040,Trade Support,3,Medium,Financial Advisors,9,Increment 2
REQ-041,Public Finance CRM,18,High,Compliance,3,Increment 3
REQ-042,Advisor Portal,17,Medium,Compliance,7,Increment 1
REQ-043,Trade Support,3,Medium,Financial Advisors,4,Increment 4
REQ-044,Public Finance CRM,2,Medium,Sales Support,5,Increment 2
REQ-045,Trade Support,14,High,Operations,8,Increment 3
REQ-046,Compliance Workflow,10,High,Compliance,4,Increment 2
REQ-047,Public Finance CRM,10,High,Public Finance,6,Increment 1
REQ-048,Client Reporting,11,Critical,Sales Support,8,Increment 4
REQ-049,Trade Support,8,High,Compliance,9,Increment 1
REQ-050,Trade Support,8,Medium,Public Finance,9,Increment 2
REQ-051,Public Finance CRM,11,Medium,Financial Advisors,7,Increment 3
REQ-052,Compliance Workflow,8,Critical,Operations,4,Increment 2
REQ-053,Trade Support,12,Medium,Compliance,8,Increment 3
REQ-054,Client Reporting,16,Medium,Financial Advisors,6,Increment 4
REQ-055,Data Entitlements,11,Low,Financial Advisors,3,Increment 1
REQ-056,Advisor Portal,2,Medium,Operations,5,Increment 1
REQ-057,Client Reporting,11,High,Sales Support,4,Increment 1
REQ-058,Public Finance CRM,3,High,Financial Advisors,6,Increment 3
REQ-059,Public Finance CRM,4,Medium,Operations,5,Increment 1
REQ-060,Public Finance CRM,5,High,Compliance,9,Increment 2
REQ-061,Data Entitlements,5,Medium,Operations,6,Increment 2
REQ-062,Advisor Portal,2,Critical,Financial Advisors,6,Increment 3
REQ-063,Advisor Portal,10,Medium,Compliance,3,Increment 2
REQ-064,Advisor Portal,8,High,Compliance,3,Increment 1
REQ-065,Client Reporting,17,Medium,Compliance,4,Increment 1
REQ-066,Data Entitlements,3,Critical,Public Finance,8,Increment 3
